P2A,P1A,36885
P5A,P1A,22284
P3A,P1A,21935
P4A,P1A,20234
P5A,P2A,19817
P4A,P2A,19445
P3A,P2A,19296
P6A,P1A,15434
P7A,P1A,15409
P9A,P1A,15154
P8A,P1A,15037
P13A,P1A,14952
P6A,P2A,14845
P11A,P1A,14838
P15A,P1A,14829
P7A,P2A,14817
P12A,P1A,14806
P10A,P1A,14756
P14A,P1A,14482
P9A,P2A,14304
P12A,P2A,14273
P10A,P2A,14203
P15A,P2A,14138
P8A,P2A,14089
P11A,P2A,14063
P14A,P2A,13962
P13A,P2A,13912
P5A,P3A,12608
P5A,P4A,12313
P4A,P3A,11867
P13A,P3A,10522
P9A,P3A,10451
P11A,P3A,10040
P6A,P5A,9682
P7A,P5A,9501
P6A,P4A,9393
P8A,P5A,9387
P7A,P4A,9246
P15A,P3A,9234
P11A,P5A,9207
P10A,P4A,9138
P10A,P5A,9107
P15A,P5A,9106
P14A,P4A,9105
P7A,P3A,9103
P12A,P4A,9093
P9A,P5A,9088
P12A,P5A,9081
P13A,P5A,9042
P8A,P3A,9034
P14A,P5A,9028
P15A,P4A,9019
P11A,P4A,8984
P8A,P4A,8982
P6A,P3A,8966
P9A,P4A,8957
P13A,P4A,8834
P14A,P3A,8792
P10A,P3A,8723
P12A,P3A,8656
P10A,P6A,7541
P7A,P6A,7516
P8A,P6A,7435
P14A,P6A,7339
P12A,P6A,7315
P14A,P10A,7293
P15A,P6A,7276
P12A,P7A,7275
P8A,P7A,7267
P14A,P7A,7264
P11A,P6A,7252
P12A,P10A,7237
P9A,P6A,7199
P10A,P8A,7179
P10A,P7A,7174
P14A,P12A,7169
P12A,P8A,7164
P13A,P6A,7146
P14A,P8A,7126
P15A,P7A,7078
P11A,P7A,7046
P9A,P7A,7037
P15A,P10A,7036
P15A,P14A,6998
P11A,P10A,6989
P13A,P10A,6981
P10A,P9A,6962
P14A,P11A,6953
P12A,P11A,6945
P13A,P7A,6945
P9A,P8A,6921
P11A,P8A,6893
P14A,P13A,6863
P15A,P11A,6859
P12A,P9A,6858
P13A,P8A,6857
P15A,P9A,6844
P13A,P12A,6830
P15A,P12A,6825
P14A,P9A,6817
P15A,P8A,6796
P15A,P13A,6792
P13A,P11A,6789
P11A,P9A,6726
P13A,P9A,6671
