P6A-1,P7A-1,29077
P7A-1,P8A-1,11415
P7A-1,P9A-1,10343
P6A-1,P8A-1,9014
P5A-1,P7A-1,8453
P5A-1,P6A-1,8025
P6A-1,P9A-1,7947
P8A-1,P9A-1,3897
P5A-1,P8A-1,3199
P9A-1,P11A-1,3044
P5A-1,P9A-1,2831
P2A-1,P9A-1,2821
P4A-1,P6A-1,2796
P9A-1,P12A-1,2793
P7A-1,P10A-1,2785
P4A-1,P7A-1,2750
P6A-1,P10A-1,2528
P3A-1,P7A-1,2370
P2A-1,P7A-1,2191
P7A-1,P14A-1,2182
P7A-1,P10B-9,2162
P7A-1,P11A-1,2143
P7A-1,P13A-1,2119
P6A-1,P11A-3,2109
P7A-1,P7B-10,2067
P7A-1,P8B-9,2059
P7A-1,P9B-9,2046
P7A-1,P15A-1,2038
P4B-9,P7A-1,2034
P7A-1,P12A-1,2029
P7A-1,P12B-9,2017
P6A-1,P14A-1,2013
P7A-1,P14A-2,2012
P4B-9,P6A-1,2010
P6A-1,P13A-1,2003
P7A-1,P10B-16,2001
P7A-1,P11A-3,1992
P7A-1,P8A-6,1990
P6B-11,P7A-1,1985
P4A-7,P7A-1,1982
P5B-9,P7A-1,1978
P6A-1,P14A-2,1978
P7A-1,P8A-8,1977
P7A-1,P7B-15,1966
P6B-16,P7A-1,1964
P4B-10,P7A-1,1961
P7A-1,P10A-7,1959
P7A-1,P8B-13,1955
P5B-10,P7A-1,1953
P7A-1,P8B-16,1949
P7A-1,P11A-6,1948
P7A-1,P10A-4,1946
P1A-6,P7A-1,1945
P6B-15,P7A-1,1945
P7A-1,P8B-14,1945
P7A-1,P12B-11,1945
P7A-1,P7B-14,1944
P7A-1,P9A-8,1944
P1A-8,P7A-1,1942
P2B-10,P7A-1,1942
P6B-9,P7A-1,1941
P3A-8,P7A-1,1940
P5A-8,P7A-1,1938
P6A-1,P11A-5,1938
P3A-2,P7A-1,1936
P4B-16,P7A-1,1936
P1B-12,P7A-1,1935
P3B-12,P6A-1,1935
P7A-1,P7B-11,1935
P2A-8,P7A-1,1934
P7A-1,P14A-5,1934
P7A-1,P15A-6,1933
P7A-1,P9B-11,1932
P7A-1,P7B-13,1930
P7A-1,P10A-5,1930
P7A-1,P9B-12,1928
P7A-1,P9B-17,1928
P7A-1,P11B-15,1928
P7A-1,P8B-11,1925
P1B-17,P7A-1,1924
P7A-1,P8A-4,1924
P3B-12,P7A-1,1923
P7A-1,P10B-11,1923
P7A-1,P7B-12,1922
P7A-1,P9A-6,1922
P7A-1,P14A-6,1919
P2B-14,P7A-1,1918
P7A-1,P8A-3,1918
P1A-1,P7A-1,1913
P6A-1,P10A-2,1913
P5A-2,P7A-1,1912
P5B-17,P7A-1,1912
P7A-1,P12A-7,1911
P5B-14,P7A-1,1910
P6B-10,P7A-1,1910
P7A-1,P10B-12,1910
P7A-1,P9A-5,1908
P7A-1,P14A-8,1906
P4A-2,P7A-1,1905
P7A-1,P8A-7,1905
P7A-1,P9B-16,1905
P3B-14,P7A-1,1904
P7A-1,P11B-11,1904
P2B-13,P7A-1,1903
P3B-11,P7A-1,1903
P4B-14,P7A-1,1902
P5B-16,P7A-1,1902
P7A-1,P7A-4,1902
P7A-1,P11A-5,1902
P7A-1,P9A-4,1901
P7A-1,P7B-16,1899
P7A-1,P12B-10,1898
P3B-9,P7A-1,1897
P3B-10,P6A-1,1897
P6A-1,P8A-4,1893
P7A-1,P7A-5,1893
P2A-5,P7A-1,1892
P5B-15,P7A-1,1892
P7A-1,P13A-6,1892
P7A-1,P13A-3,1891
P7A-1,P10B-14,1890
P6B-13,P7A-1,1889
P2B-17,P7A-1,1888
P7A-1,P12A-3,1888
P5B-11,P7A-1,1887
P7A-1,P9B-13,1887
P7A-1,P12A-5,1886
P1B-14,P7A-1,1885
P7A-1,P8B-12,1885
P7A-1,P11B-10,1885
P7A-1,P11B-12,1885
P4B-15,P7A-1,1884
P7A-1,P10A-3,1884
P6A-1,P14A-6,1883
P7A-1,P7A-3,1883
P7A-1,P9A-7,1882
P6A-1,P14A-8,1881
P7A-1,P10B-15,1881
P7A-1,P12B-13,1881
P7A-1,P8B-10,1880
P7A-1,P10B-17,1879
P7A-1,P12A-6,1879
P3A-5,P7A-1,1878
P4B-11,P7A-1,1878
P6A-1,P10A-7,1878
P4A-8,P7A-1,1877
P6A-5,P7A-1,1877
P7A-1,P12B-14,1877
P2B-12,P7A-1,1876
P7A-1,P11A-8,1876
P7A-1,P15A-5,1876
P7A-1,P10A-8,1875
P6A-1,P7B-15,1874
P7A-1,P11A-7,1873
P7A-1,P11B-14,1873
P7A-1,P11B-17,1873
P7A-1,P12A-4,1873
P7A-1,P12B-12,1873
P1B-10,P7A-1,1872
P3A-4,P7A-1,1872
P3A-7,P7A-1,1872
P7A-1,P8A-5,1872
P7A-1,P9A-3,1872
P7A-1,P7A-7,1871
P6A-1,P15A-6,1870
P7A-1,P9B-14,1869
P7A-1,P13A-8,1869
P6A-1,P12A-5,1868
P3B-10,P7A-1,1867
P7A-1,P11B-9,1867
P5A-6,P7A-1,1866
P6A-1,P7A-2,1866
P2A-3,P6A-1,1864
P7A-1,P10A-6,1864
P7A-1,P12A-8,1864
P5B-17,P6A-1,1863
P7A-1,P8A-2,1863
P7A-1,P7B-9,1862
P4B-14,P6A-1,1860
P6A-1,P15A-3,1860
P1B-13,P7A-1,1859
P4B-13,P7A-1,1859
P6A-1,P9A-5,1858
P6A-1,P10B-17,1858
P7A-1,P9A-2,1858
P3B-15,P7A-1,1856
P7A-1,P10B-13,1856
P1B-10,P6A-1,1855
P3B-13,P7A-1,1855
P2A-5,P6A-1,1854
P2A-7,P7A-1,1854
P5B-12,P7A-1,1854
P7A-1,P13A-2,1854
P7A-1,P15A-2,1853
P7A-1,P15A-7,1853
P1A-6,P6A-1,1852
P6A-1,P6B-12,1852
P6A-1,P10A-3,1852
P7A-1,P11B-16,1852
P2B-10,P6A-1,1851
P7A-1,P8B-17,1851
P1B-9,P7A-1,1850
P4A-3,P7A-1,1849
P4A-5,P7A-1,1849
P5A-3,P7A-1,1849
P6A-1,P10A-4,1849
P6A-2,P7A-1,1849
P4B-12,P7A-1,1848
P6A-1,P9A-2,1848
P7A-1,P7A-6,1848
P7A-1,P13A-7,1848
P7A-1,P12B-15,1847
P4B-12,P6A-1,1846
P2A-8,P6A-1,1845
P6A-4,P7A-1,1845
P7A-1,P14A-7,1845
P3A-7,P6A-1,1844
P4B-16,P6A-1,1844
P7A-1,P11B-13,1844
P2B-11,P7A-1,1843
P6A-1,P6A-5,1843
P2A-6,P7A-1,1840
P3B-17,P7A-1,1840
P6A-1,P6B-9,1840
P6A-1,P11A-2,1839
P6A-6,P7A-1,1839
P1A-3,P6A-1,1838
P7A-1,P11A-2,1836
P3B-16,P7A-1,1834
P5B-13,P7A-1,1834
P6A-1,P11B-14,1834
P7A-1,P13A-5,1834
P1A-5,P7A-1,1833
P5A-4,P7A-1,1833
P2A-3,P7A-1,1832
P6A-1,P11B-11,1832
P3B-17,P6A-1,1831
P5B-11,P6A-1,1831
P7A-1,P12A-2,1831
P2B-9,P6A-1,1830
P3A-3,P6A-1,1830
P4A-4,P7A-1,1830
P7A-1,P15A-4,1830
P6A-1,P9B-16,1829
P6A-1,P11B-15,1828
P1B-11,P7A-1,1827
P3B-15,P6A-1,1827
P6A-1,P6B-16,1827
P6A-1,P13A-5,1827
P1A-1,P6A-1,1826
P6A-3,P7A-1,1826
P2B-9,P7A-1,1825
P7A-1,P13A-4,1825
P4B-13,P6A-1,1824
P6A-1,P6A-3,1824
P6A-1,P9B-17,1824
P6A-1,P10A-6,1824
P6A-1,P12B-13,1824
P7A-1,P14A-4,1824
P6A-1,P10B-16,1822
P6B-12,P7A-1,1822
P7A-1,P12B-17,1822
P1B-15,P7A-1,1821
P4A-8,P6A-1,1821
P4B-15,P6A-1,1821
P6A-7,P7A-1,1821
P7A-1,P10A-2,1821
P1A-7,P7A-1,1819
P1B-15,P6A-1,1819
P3A-8,P6A-1,1819
P6A-1,P12B-12,1819
P6A-1,P11B-17,1818
P2B-13,P6A-1,1817
P5A-3,P6A-1,1817
P4A-6,P7A-1,1816
P4B-17,P7A-1,1816
P6A-1,P7B-10,1816
P7A-1,P7A-8,1816
P6A-1,P8A-3,1815
P7A-1,P7B-17,1815
P2A-2,P7A-1,1813
P5A-4,P6A-1,1812
P6A-1,P6B-10,1812
P6A-1,P6B-13,1812
P6A-1,P7B-11,1812
P3A-6,P7A-1,1811
P6A-1,P9B-14,1811
P6A-1,P12B-10,1811
P2A-4,P6A-1,1810
P5B-13,P6A-1,1810
P6A-1,P8B-14,1810
P1A-2,P7A-1,1808
P3A-5,P6A-1,1808
P1A-7,P6A-1,1807
P1B-11,P6A-1,1807
P3B-13,P6A-1,1807
P6A-1,P12A-2,1807
P6B-14,P7A-1,1807
P6A-1,P8A-2,1806
P6A-1,P12B-17,1806
P7A-1,P14A-3,1806
P6A-1,P7B-16,1805
P3A-2,P6A-1,1802
P3B-16,P6A-1,1802
P1B-16,P7A-1,1800
P4B-11,P6A-1,1800
P6A-1,P12A-7,1800
P7A-1,P11A-4,1799
P7A-1,P12B-16,1799
P6A-1,P9A-4,1798
P7A-1,P7A-2,1798
P2B-12,P6A-1,1797
P2B-16,P7A-1,1797
P6A-1,P11B-9,1797
P1A-8,P6A-1,1796
P2B-15,P7A-1,1794
P6A-1,P8A-5,1793
P6A-1,P11B-16,1793
P6A-1,P10B-14,1792
P6A-1,P10A-5,1791
P6A-1,P15A-1,1791
P4A-2,P6A-1,1790
P5B-12,P6A-1,1790
P6A-1,P8B-15,1790
P6A-1,P9B-9,1790
P6A-1,P10A-8,1790
P6A-1,P11A-6,1790
P6A-1,P12B-11,1790
P7A-1,P15A-8,1790
P2A-4,P7A-1,1789
P3A-6,P6A-1,1789
P3B-11,P6A-1,1789
P3B-14,P6A-1,1789
P6A-1,P15A-2,1789
P6A-1,P12B-15,1788
P1A-4,P7A-1,1787
P6A-1,P10B-15,1787
P6A-1,P6B-17,1786
P6A-1,P12B-16,1786
P6B-17,P7A-1,1786
P4A-3,P6A-1,1785
P4B-17,P6A-1,1785
P6A-1,P9A-8,1785
P1A-3,P7A-1,1784
P2B-16,P6A-1,1784
P5A-6,P6A-1,1784
P5B-10,P6A-1,1784
P6A-1,P15A-8,1784
P5A-2,P6A-1,1783
P6A-1,P6A-6,1783
P6A-1,P13A-6,1783
P6A-1,P14A-4,1783
P6A-1,P11A-8,1782
P7A-1,P9B-10,1782
P2A-7,P6A-1,1781
P6A-1,P13A-7,1781
P7A-1,P10B-10,1781
P2B-15,P6A-1,1779
P7A-1,P9B-15,1778
P5A-8,P6A-1,1777
P6A-1,P14A-7,1777
P1B-14,P6A-1,1776
P6A-1,P8B-13,1776
P7A-1,P15A-3,1776
P1A-5,P6A-1,1775
P7A-1,P8B-15,1775
P5B-14,P6A-1,1774
P6A-8,P7A-1,1774
P6A-1,P8B-16,1773
P6A-1,P15A-4,1773
P2A-2,P6A-1,1772
P4A-6,P6A-1,1772
P6A-1,P9A-6,1772
P6A-1,P14A-3,1770
P6A-1,P15A-5,1770
P4B-10,P6A-1,1769
P5B-15,P6A-1,1769
P6A-1,P10B-10,1767
P6A-1,P11B-12,1766
P3A-3,P7A-1,1765
P6A-1,P6A-7,1765
P6A-1,P7B-14,1765
P6A-1,P8A-8,1765
P6A-1,P10B-11,1765
P6A-1,P10B-13,1763
P6A-1,P13A-2,1763
P6A-1,P7B-9,1762
P6A-1,P8A-6,1762
P1B-9,P6A-1,1761
P1B-12,P6A-1,1760
P2A-6,P6A-1,1760
P6A-1,P14A-5,1760
P6A-1,P15A-7,1760
P6A-1,P7B-17,1759
P6A-1,P9B-10,1759
P6A-1,P12B-14,1759
P5A-5,P7A-1,1758
P6A-1,P12A-4,1758
P4A-7,P6A-1,1757
P1B-13,P6A-1,1756
P6A-1,P7A-3,1756
P6A-1,P7A-8,1756
P3A-1,P6A-1,1755
P5A-7,P7A-1,1754
P2B-11,P6A-1,1753
P4A-5,P6A-1,1753
P6A-1,P11B-13,1753
P6A-1,P10B-9,1752
P6A-1,P6B-14,1751
P5A-7,P6A-1,1750
P6A-1,P9A-3,1750
P4A-4,P6A-1,1749
P6A-1,P10B-12,1749
P5A-5,P6A-1,1747
P6A-1,P8A-7,1747
P6A-1,P9A-7,1747
P6A-1,P8B-10,1746
P6A-1,P11A-7,1746
P6A-1,P7B-13,1745
P6A-1,P12A-6,1744
P1B-17,P6A-1,1743
P1A-4,P6A-1,1742
P6A-1,P9B-11,1742
P6A-1,P13A-4,1741
P6A-1,P6A-2,1737
P6A-1,P12A-8,1737
P6A-1,P7A-4,1735
P2B-17,P6A-1,1734
P3A-4,P6A-1,1734
P6A-1,P7A-6,1731
P6A-1,P6A-4,1730
P6A-1,P6B-15,1730
P6A-1,P7B-12,1730
P6A-1,P9B-15,1730
P6A-1,P12B-9,1730
P6A-1,P6A-8,1729
P6A-1,P13A-8,1725
P6A-1,P11A-4,1724
P3B-9,P6A-1,1723
P6A-1,P9B-12,1723
P6A-1,P9B-13,1723
P6A-1,P6B-11,1720
P6A-1,P8B-17,1719
P6A-1,P8B-11,1712
P5B-16,P6A-1,1706
P1A-2,P6A-1,1704
P6A-1,P13A-3,1704
P2B-14,P6A-1,1701
P6A-1,P7A-5,1691
