P2A,P1A,419
P3A,P1A,250
P5A,P1A,239
P4A,P2A,238
P4A,P1A,226
P3A,P2A,222
P5A,P2A,218
P4B,P1A,208
P9B,P1A,198
P1B,P1A,195
P4B,P2A,195
P12B,P2A,190
P12B,P1A,188
P1B,P2A,186
P8B,P1A,182
P10B,P2A,182
P10B,P1A,181
P9B,P2A,180
P12A,P1A,178
P3B,P2A,178
P11B,P1A,178
P6B,P2A,177
P8B,P2A,177
P10A,P1A,175
P2B,P1A,175
P6B,P1A,175
P15A,P1A,174
P3B,P1A,174
P11B,P2A,174
P7B,P1A,171
P13A,P1A,169
P8A,P1A,167
P7A,P2A,166
P5B,P1A,166
P7B,P2A,166
P8A,P2A,163
P10A,P2A,162
P14A,P1A,161
P7A,P1A,160
P9A,P2A,160
P12A,P2A,160
P15A,P2A,160
P13A,P2A,159
P5B,P2A,159
P6A,P1A,158
P9A,P1A,158
P11A,P1A,156
P2B,P2A,154
P11A,P2A,149
P14A,P2A,148
P6A,P2A,146
P5A,P3A,145
P5A,P4A,141
P4A,P3A,139
P4B,P5A,135
P4B,P4A,129
P1B,P3A,126
P9B,P3A,125
P1B,P5A,124
P10B,P5A,124
P5B,P5A,121
P1B,P4A,120
P8B,P4A,119
P10B,P3A,119
P10A,P4A,118
P15A,P4A,118
P4B,P3A,118
P9B,P5A,118
P9A,P4A,117
P10B,P4B,117
P10B,P6B,117
P9B,P4A,116
P13A,P4A,115
P6B,P4A,115
P10B,P1B,115
P4B,P1B,114
P12B,P5A,114
P12A,P4A,113
P10B,P4A,113
P11B,P4A,113
P12B,P4A,113
P12B,P9B,113
P13A,P3A,112
P11A,P3A,111
P15A,P3A,111
P5B,P4B,111
P7B,P5A,111
P8B,P3A,110
P8A,P5A,109
P9A,P3A,109
P2B,P5A,109
P5B,P3A,109
P6B,P5A,109
P9B,P1B,109
P11B,P1B,109
P2B,P4A,108
P3B,P5A,108
P11B,P4B,108
P12B,P3A,108
P4B,P15A,107
P6B,P4B,107
P9B,P8A,107
P10B,P14A,107
P15A,P5A,106
P4B,P13A,106
P6B,P3A,106
P8B,P4B,106
P11B,P5A,106
P8A,P4A,105
P8B,P1B,105
P9B,P4B,105
P12B,P4B,105
P6A,P5A,104
P7A,P4A,104
P10A,P3A,104
P12A,P5A,104
P3B,P4A,104
P4B,P11A,104
P5B,P1B,104
P10B,P9B,104
P1B,P10A,103
P7B,P5B,103
P8B,P5A,103
P10B,P12A,103
P11B,P3A,103
P11B,P10B,103
P8A,P3A,102
P10A,P5A,102
P11A,P4A,102
P9B,P15A,102
P10B,P10A,102
P12B,P10B,102
P6A,P4A,101
P14A,P4A,101
P5B,P4A,101
P7B,P4A,101
P11B,P12A,101
P12B,P1B,101
P12B,P7B,101
P4B,P6A,100
P7B,P3A,100
P11B,P10A,100
P14A,P3A,99
P2B,P3A,99
P4B,P10A,99
P4B,P3B,99
P6B,P8A,99
P9B,P5B,99
P11B,P8B,99
P11A,P5A,98
P4B,P7A,98
P4B,P2B,98
P5B,P10A,98
P8B,P6B,98
P11B,P9B,98
P1B,P8A,97
P7B,P4B,97
P9B,P2B,97
P9B,P6B,97
